Parsha,Torah Page,Haftarah verses,Haftarah Page,Notes
Bereshit,3,Isaiah 43:1–43:10,39,
Noach,41,Isaiah 54:14 - 55:5,68,
Lech-Lecha,69,Isaiah 40:27 - 41:4,95,
Vayera,99,II Kings 4:8-17,124,
Chayei Sara,127,I Kings 1:22-31,145,
Toldot,146,Malachi 2:1-7,164,
Vayetzei,166,Hosea 14:2-9,191,
Vayishlach,198,Obadiah 1:13-21,224,
Vayeshev,226,Amos 3:1–3:8,249,
Miketz,250,Zechariah 4:1 - 7,1272, Rosh Chodesh/Hannukah
Vayigash,274,Ezekiel 37:15-23,291,
Vayechi,293,I Kings 2:1-7,313,
Shemot,317,Isaiah 27:6-13,343,
Vaera,351,Ezekiel 29:13-21,372,
Bo,374,Jeremiah 46:18-24,397,
Beshalach,399,Judges 5:3-13,426,
Yitro,432,Isaiah 6:1-5,452,
Mishpatim,456,2 Kings 12:7–17,1278,Shekalim
Terumah ,485,1 Kings 6:1-13,500,
Tetzaveh,503,1 Samuel 15:24-34,1284,Zachor
Ki Tisa,523,Ezekiel 36:29-38,1288,Parah
Vayakhel-Pekudei,552,Ezekiel 45:16–25,1291,HaChodesh
Vayikra,585,Isaiah 44:1–44:8,608,
Tzav,613,Malachi 3:13–24,1297,HaGadol
Shmini,630,II Samuel 6:1-11,645,
Tazria-Metzora,649,Isaiah 66:17–24,1222,Rosh Chodesh
Achrei Mot-Kedoshim,679,Amos 9:7-9:13,706,
Emor,717,Ezekiel 44:15-24,735,
Behar-Bechukotai,738,Jeremiah 17:5-17:14,764,
Bamidbar,747,1 Samuel 20:18-29,1216,Mahar Chodesh
Nasso,791,Judges 13:17 - 25,814,
Beha'alotcha,816,Zechariah 3:6–4:7,838,
Sh'lach,840,Joshua 2:1–7,857,
Korach,860,1 Samuel 12:13-22,878,
Chukat-Balak,880,Micah 6:1-8,915,
Pinchas,918,Jeremiah 1:11–19,970,
Matot-Masei,941,Jeremiah 2:20–28; 3:4,975,
Devarim,981,Isaiah 1:10-17,1001,
Vaetchanan,1005,Isaiah 40:1-11 ,1033,
Eikev,1037,Isaiah 50:10 - 51:3,1059,
Re'eh,1061,Isaiah 54:11-17,1085,
Shoftim,1088,Isaiah 52:1 - 8,1109,
Ki Tetzei,1112,Isaiah 54:1-10,1138,
Ki Tavo,1140,Isaiah 60:1–9,1161,
Nitzavim-Va-yeilekh,1165,Isaiah 61:10-62:5,1180,
Ha'azinu,1185,Hosea 14:2-10,1234,Shabbat Shuva
Vezot ha-B'rakhah,1202,,,
