Parsha,Page
Bereshit,3
Noach,41
LechLecha,69
Vayera,99
Chayei Sara,127
Toldot,146
Vayetze,166
Vayishlach,198
Vayeshev,226
Miketz,250
Vayigash,274
Vayechi,293
Shemot,317
Vaera,351
Bo,374
Beshallah,399
Yitro,432
Mishpatim,456
Terumah,485
Tetzavveh,503
KiTisa,523
Vayakhel,552
Pekudei,564
Vayikra,585
Tzav,613
Shmini,630
Tazria,649
Metzora,660
Tazria-Metzora,649
Achrei Mot,679
Kedoshim,693
Achrei Mot-Kedoshim,679
Emor,717
Behar,738
Bechukotai,747
Behar-Bechukotai,738
Bamidbar,747
Nasso,791
B'ha-alot'kha,816
Sh'lah L'kha,840
Korah,860
Hukkat,880
Balak,894
Pinhas,918
Mattot,941
Mas'ei,954
D'varim,981
Va-ethanan,1005
Eikev,1037
Re'eh,1061
Shof'tim,1088
Ki Tetzei,1112
Ki Tavo,1140
Nitzavim,1165
Va-yeilekh,1173
Ha-azinu,1185
V'zot ha-B'rakhah,1202
