Parsha,Torah Page,Haftarah verses,Haftarah Page
Bereshit,3,,
Noach,41,,
Lech-Lecha,69,,
Vayera,99,,
Chayei Sara,127,,
Toldot,146,,
Vayetzei,166,,
Vayishlach,198,,
Vayeshev,226,,
Miketz,250,,
Vayigash,274,,
Vayechi,293,,
Shemot,317,,
Vaera,351,,
Bo,374,,
Beshalach,399,,
Yitro,432,,
Mishpatim,456,,
Terumah,485,,
Tetzaveh,503,,
Ki Tisa,523,,
Vayakhel,552,,
Pekudei,564,,
Vayikra,585,,
Tzav,613,,
Shmini,630,,
Tazria,649,,
Metzora,660,,
Tazria-Metzora,649,,
Achrei Mot,679,,
Kedoshim,693,,
Achrei Mot-Kedoshim,679,,
Emor,717,,
Behar,738,,
Bechukotai,747,,
Behar-Bechukotai,738,,
Bamidbar,747,Hosea 2:16–22,789
Nasso,791,Judges 13:17 - 21,814
Beha'alotcha,816,Zechariah 3:6–4:7,837
Sh'lach,840,Joshua 2:1–14,857
Korach,860,1 Samuel 12:13-22,878
Chukat,880,Judges 11:1–11,910
Balak,894,Micah 6:1-8,916
Pinchas,918,Jeremiah 1:11–19,970
Matot,941,,
Masei,954,,
Matot-Masei,941,Jeremiah 2:20–28; 3:4,975
Devarim,981,Isaiah 1:10-17,1001
Vaetchanan,1005,Isaiah 40:1-11 ,1033
Eikev,1037,Isaiah 50:10 - 51:3,1059
Re'eh,1061,Isaiah 54:11-17,1085
Shoftim,1088,Isaiah 52:1 - 8,1109
Ki Tetzei,1112,Isaiah 54:1-10,1138
Ki Tavo,1140,Isaiah 60:1–9,1161
Nitzavim,1165,Isaiah 61:10-62:5,1180
Va-yeilekh (Shabbat Shuva),1173,Hosea 14:2-10,1234
Ha'azinu,1185,II Samuel 22:1-11,1197
Vezot ha-B'rakhah,1202,,
